title,score_phrase,score,genre,editors_choice
Syndicate Wars,Mediocre,5.0,Shooter,N
Dark Rift,Mediocre,5.4,Fighting,N
Hercules,Okay,6.0,Action,N
Battlesport,Okay,6.0,Action,N
Darklight Conflict,Good,7.0,Action,N
Dynasty Warriors,Good,7.8,Fighting,N
F1 Pole Position 64,Bad,4.1,Racing,N
Madden Football 64,Good,7.8,Sports,N
1080° Snowboarding,Great,8.6,Sports,Y
San Francisco Rush: Extreme Racing,Mediocre,5.0,Racing,N
Judge Dredd,Painful,2.0,Shooter,N
Tennis Arena,Mediocre,5.0,Sports,N
Rampage: World Tour,Bad,4.9,Action,N
Pitfall 3D,Good,7.0,Platformer,N
Dragon Ball GT Final Bout,Awful,3.0,Fighting,N
Mass Destruction,Good,7.0,Action,N
Need for Speed: V-Rally,Great,8.0,Racing,N
Caesars Palace,Okay,6.0,Casino,N
Crash Bandicoot 2: Cortex Strikes Back,Great,8.5,Platformer,N
Colony Wars,Amazing,9.3,Action,Y
Frogger,Painful,2.0,Platformer,N
Moto Racer,Good,7.5,Racing,N
Jeopardy! [1998],Awful,3.8,Simulation,N
NCAA March Madness '98,Okay,6.5,Sports,N
Shadow Master,Bad,4.0,Action,N
Oddworld: Abe's Oddysee,Good,7.5,Adventure,N
NHL '98,Great,8.0,Sports,N
Poy Poy,Great,8.0,Action,Y
Bottom of the 9th '97,Okay,6.0,Sports,N
Magic: The Gathering -- Battlemage,Bad,4.0,Strategy,N
Steel Reign,Good,7.0,Action,N
Tecmo Stackers,Good,7.0,Puzzle,N
Multi Racing Championship,Okay,6.4,Racing,N
RayStorm,Good,7.5,Action,N
Battle Arena Toshinden 3,Okay,6.3,Fighting,N
WCW vs. NWO: World Tour,Good,7.5,Wrestling,N
Spawn: The Eternal,Painful,2.0,Action,N
Mortal Kombat Mythologies: Sub-Zero,Awful,3.0,Platformer,N
Wheel of Fortune [1997],Okay,6.4,Puzzle,N
Bug Riders,Awful,3.0,Racing,N
Automobili Lamborghini,Good,7.0,Racing,N
Excalibur 2555 AD,Awful,3.0,Action,N
Armored Core,Great,8.0,Action,N
ClayFighter 63 1/3,Awful,3.7,Fighting,N
Persona,Good,7.5,RPG,N
Golden Nugget,Okay,6.0,Strategy,N
Bushido Blade,Great,8.7,Fighting,Y
Diablo,Good,7.5,"Action, RPG",N
Dead or Alive,Great,8.5,Fighting,Y
Speed Racer,Mediocre,5.0,Racing,N
Lode Runner: The Legend Returns,Okay,6.0,Action,N
Saga Frontier,Good,7.0,RPG,N
Rascal,Painful,2.0,Platformer,N
